영화명,개봉일,누적관객수,배급사,감독,배우
"416 프로젝트 ""공동의 기억: 트라우마""",1900-01-01,437,0,416연대미디어위원회,0
미씨카: 더 네크로맨서,2017-11-02,60,(주)제이에이와이이엔터테인먼트,A.토드스미스,"애덤존슨,로버트제인,케빈소르보"
월드 워 핵전쟁의 서막,2019-03-07,17,주식회사풍경소리,A.K.스트롬,"모건브래들리,그레이엄빈센트,캠벨루셀"
울프라이징,2016-11-17,60,주식회사루믹스미디어,BC퍼트니,빌오버스트주니어
제3의앵글 : 형형색색대만전,1900-01-01,305,0,BITO,0
연쇄살인마의 이중생활,2020-06-18,7,주식회사마운틴픽쳐스,C.마틴페레라,"안나알렌,나초프레스네다,메르세데스카스트로"
몬스터 아일랜드,2017-10-27,1,주식회사레드아이스,C.블레이크에번든,존W.바우어스
잃어버린 세계를 찾아 2015,2015-12-03,1,(유)조이앤컨텐츠그룹,C.토마스하우웰,"C.토마스하우웰,티모시바톰즈"
과부: 탐스러운 육체,2016-11-19,1,(주)영진크리에이티브,C.나가후쿠,"타치바나케이코,이치죠리노"
페이스트리의 왕,1900-01-01,107,0,"D.A.페네베이커,크리스헤지더스",0
지옥행 특급택시,2020-01-27,1,(주)도키엔터테인먼트,D.C.해밀턴,"지노안소니페시,브리나켈리,제이슨스튜어트"
텔미 하우 아이 다이,2017-09-28,60,(주)제이에이와이이엔터테인먼트,D.J.비올라,"버지니아가드너,윌리엄매포더,마크롤스톤"
스탠딩 업,2015-09-24,1,(주)블루브릭,D.J.카루소,"챈들러캔터베리,라다미첼,발킬머"
테이킹 라이브즈,2004-04-15,38736,워너브러더스코리아(주),D.J.카루소,"에단호크,안젤리나졸리,키퍼서덜랜드"
트리플 엑스 리턴즈,2017-02-08,475309,롯데쇼핑㈜롯데엔터테인먼트,D.J.카루소,"빈디젤,사무엘L.잭슨,루비로즈,니나도브레브,토니콜렛,디피카파드콘,토니자"
디스터비아,2007-08-30,576120,CJENM,D.J.카루소,"샤이아라보프,사라로머"
아이 엠 넘버 포,2011-02-24,654386,한국소니픽쳐스릴리징브에나비스타영화㈜,D.J.카루소,"티모시올리펀트,알렉스페티퍼"
이글 아이,2008-10-09,2292172,CJENM,D.J.카루소,"샤이아라보프,미셸모나한,도니제프콧"
레커스,2014-04-03,2263,㈜인디스토리,D.R.후드,"베네딕트컴버배치,클레어포이,숀에반스"
동쪽 저 멀리,1900-01-01,31,0,D.W.그리피스,0
겟 어웨이,2016-12-23,1,주식회사레드아이스,Dpyx,캐서린아네트
뱀파이어의 그림자,1900-01-01,15,0,E.엘리아스메리지,"존말코비치,윌렘대포,캐리엘위스"
서스펙트 제로,2005-03-17,4918,한국소니픽쳐스릴리징브에나비스타영화㈜,E.엘리아스메리지,"아론에크하트,벤킹슬리"
네고시에이터,1998-10-24,19,0,F.게리그레이,"사무엘L.잭슨,케빈스페이시,데이빗모스"
쿨,2005-04-08,21171,이십세기폭스코아(주),F.게리그레이,"존트라볼타,우마서먼"
스트레이트 아웃 오브 컴턴,2015-09-10,48844,유니버설픽쳐스인터내셔널코리아(유),F.게리그레이,"오셔잭슨주니어,코리호킨스,제이슨미첼,닐브라운주니어,알디스호지,폴지아마티"
모범시민,2009-12-10,800006,(주)시너지하우스(시너지),F.게리그레이,"제라드버틀러,제이미폭스"
맨 인 블랙: 인터내셔널,2019-06-12,851917,롯데쇼핑㈜롯데엔터테인먼트,F.게리그레이,"크리스헴스워스,테사톰슨,리암니슨,엠마톰슨"
분노의 질주: 더 익스트림,2017-04-12,3659683,유니버설픽쳐스인터내셔널코리아(유),F.게리그레이,"빈디젤,드웨인존슨,샤를리즈테론,제이슨스타뎀,스콧이스트우드,커트러셀,미셸로드리게즈,엘자패터키,에바멘데스,헬렌미렌,조다나브루스터,루카스블랙,타이레스깁슨,루다크리스"
노스페라투,1900-01-01,111,0,F.W.무르나우,0
터부,1900-01-01,122,0,F.W.무르나우,0
