■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-08-06,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2005-01-01~2006-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,괴물,2006-07-27,"66,715,713,300",4.0%,"66,715,713,300","10,917,153","10,917,153",647,"113,073",한국,한국,영화사청어람(주),(주)쇼박스,12세관람가,"SF,가족,드라마",봉준호,"송강호,변희봉,박해일,배두나,고아성,오달수,박노식,라미란,고수희,윤제문,김뢰하,고창석,박진우,김학선,신현종,신승리,조덕제,조진영,김창렬,김병훈,이재응,이훈진,정강희,김대근,김효선,김종준,김다영,이왕우,유승목,손진호,권병길,손영순,정인기,최교식,이종윤,김비비,조영규"
2,왕의 남자,2005-12-29,"66,015,355,400",3.9%,"66,015,355,400","10,513,699","10,513,699",313,"111,173",한국,한국,"(주)씨네월드,(주)이글픽쳐스",(주)시네마서비스,15세이상관람가,드라마,이준익,"감우성,이준기,유해진,정진영,박영수,강성연,이건우,이동수,이동헌,유효정,윤준식,박성호,김주홍,이정민,김윤정,장항선,정석용,신정근,우현,정대용,최일화,윤주상"
3,웰컴 투 동막골,2005-08-04,"40,328,508,500",2.4%,"40,328,508,500","6,436,508","6,436,508",356,"72,108",한국,한국,"필름있수다,(주)쇼박스",(주)쇼박스,12세관람가,"전쟁,드라마",박광현,"신하균,정재영,강혜정,류덕환,임하룡,강남석,조혜진,손재영,신영철,류창국,김도영,민창기,이화경,최민영,최상순,임은희,박아형,정영기,김찬호,이경애,이다운,김영배,서재경,유승목,조덕현,심원철,리민,이란희,하성광"
4,타짜,2006-09-28,"36,180,800,700",2.2%,"36,180,800,700","5,685,441","5,685,441",492,"76,872",한국,한국,"(주)영화사참,(주)싸이더스",CJ ENM,18세관람가,드라마,최동훈,"조승우,김혜수,백윤식,유해진,김응수,김상호,김윤석,주진모,이수경,김정난,조상건,서동수,백도빈,조상원,김의성,서종해,차지은,이석원,윤준호,최영준,오호진,김민경,김진묵,김정현,최재섭,허영만,오정세,김광규,장준녕,최종률,장원영,박명신,박수영,권태원,정인기,김자영"
5,미션 임파서블 3,2006-05-03,"32,154,883,400",1.9%,"32,154,883,400","5,127,003","5,127,003",441,"72,573",미국,미국,"파라마운트 픽쳐스,크루즈/와그너 프로덕션",UIP코리아,15세관람가,액션,J.J. 에이브럼스,"톰 크루즈,필립 세이모어 호프만"
6,투사부일체,2006-01-19,"31,959,686,000",1.9%,"31,959,686,000","5,074,314","5,074,314",407,"54,339",한국,한국,(주)시네마제니스,CJ ENM,15세관람가,코미디,김동원,"정준호,정웅인,김상중,김응수,임성민,박용식,최윤영,박은비,나현주,김동성,고은영,이배훈,박기연,김성근,유인나,이희석,일호,최선영,박민애,정다은,최영미,이송,최영진,최융환,김지헌,이혁수,춘자,이기열,강성필,장준녕,하동훈,이승연,한효주,최원"
7,가문의 위기(가문의 영광2),2005-09-07,"28,622,355,500",1.7%,"28,622,355,500","4,529,876","4,529,876",351,"61,009",한국,한국,(주)태원엔터테인먼트,(주)쇼박스,15세관람가,코미디,정용기,"신현준,김수미,김원희,최은주,김효진,박은혜,임형준,한재혁,김인욱,이화란,장지영,김재희,장서윤,이미도,공형진,정준하,탁재훈,정호빈,최욱,김해곤,신이"
8,말아톤,2005-01-27,"26,284,943,000",1.6%,"26,284,943,000","4,196,840","4,196,840",238,"59,493",한국,한국,시네라인투(주),(주)쇼박스,전체관람가,드라마,정윤철,"조승우,김미숙,이진영,허자경,석명홍,정철우,이민숙,김장욱,전수지,정미선,정미영,김영아,이창헌,이기영,백성현,안내상,김도영,우기홍"
9,캐리비안의 해적 : 망자의 함,2006-07-06,"23,832,939,000",1.4%,"23,832,939,000","3,911,617","3,911,617",456,"49,636",미국,미국,월트 디즈니 픽쳐스,브에나비스타인터내셔널코리아,12세관람가,"액션,코미디,어드벤처,판타지",고어 버빈스키,"조니 뎁,올랜도 블룸"
10,태풍,2005-12-14,"22,209,675,300",1.3%,"22,209,675,300","3,471,150","3,471,150",481,"47,155",한국,한국,CJ ENM,CJ ENM,15세관람가,"드라마,액션",곽경택,"김혜정,김원진,이정재,이미연,추현경,장동건,허욱,신성일,김형찬,홍의정,김이호,나수원,박태호,김경환,김상용,민성주,민지환,박광설,유승권,박병렬,김철준,이주헌,이성근,최일화,박찬영,데이비드 맥기니스,손병욱,조운"
11,킹콩,2005-12-14,"21,476,052,900",1.3%,"21,476,052,900","3,469,311","3,469,311",319,"38,395",미국,미국,유니버셜 픽쳐스,UIP코리아,15세관람가,"드라마,어드벤처",피터 잭슨,"잭 블랙,애드리언 브로디,나오미 왓츠"
12,해리 포터와 불의 잔,2005-12-01,"21,462,417,400",1.3%,"21,462,417,400","3,430,663","3,430,663",504,"43,052",미국,미국,워너 브러더스 픽쳐스,워너브러더스 코리아(주),12세관람가,"액션,판타지",마이크 뉴웰,"다니엘 래드클리프,루퍼트 그린트,엠마 왓슨,랄프 파인즈,로버트 패틴슨"
13,한반도,2006-07-13,"20,597,497,600",1.2%,"20,597,497,600","3,331,593","3,331,593",483,"49,539",한국,한국,(주)시네마서비스글로벌,CJ ENM,15세관람가,"드라마,액션",강우석,"조재현,안성기,차인표,문성근,김응수,김광일,최종원,최정우,강신일,최창석,서강석,고정은,최동규,김성원,최병권,장문정,최연식,이승철,김영신,이윤주,백일섭,이미도,이한위,박길수,이승호,최일화,이칸희,조민준,권태원,이양희,류제승"
14,미녀는 괴로워,2006-12-14,"18,919,439,500",1.1%,"18,919,439,500","3,224,865","3,224,865",418,"36,689",한국,한국,"리얼라이즈픽쳐스(주),케이엠컬쳐㈜",(주)쇼박스,12세이상관람가,"멜로/로맨스,코미디",김용화,"김아중,주진모,김현숙,신미영,김원,조아영,신정원,차원호,원동연,이보라,장재권,전고은,임민승,윤지원,박성용,박성현,오재진,김정만,정명희,오경성,김종태,이혜림,이종필,박노식,김용건,박휘순,이원종,이한위,류승수,정민성,김지석"
15,아일랜드,2005-07-21,"20,363,994,500",1.2%,"20,363,994,500","3,218,811","3,218,811",340,"35,990",미국,미국,"드림웍스 SKG,워너 브러더스 픽쳐스",워너브러더스 코리아(주),12세관람가,"SF,드라마,액션,스릴러",마이클 베이,이완 맥그리거
16,공공의 적 2,2005-01-27,"20,091,127,000",1.2%,"20,091,127,000","3,134,421","3,134,421",299,"40,642",한국,한국,(주)시네마서비스,(주)시네마서비스,15세관람가,드라마,강우석,"설경구,정준호,유해진,강경덕,박웅,강신일,홍지연,전미애,박태수,남성훈,한재준,서영민,박상욱,최수경,이채은,이미도,변희봉,최정우,김강일,남문철,권태원,원근희"
17,친절한 금자씨,2005-07-29,"20,483,051,393",1.2%,"20,483,051,393","3,119,682","3,119,682",386,"41,438",한국,한국,(주)모호필름,CJ ENM,18세관람가,스릴러,박찬욱,"이영애,최민식,권예영,김시후,남일우,김병옥,오달수,이승신,김부선,라미란,고수희,최정우,송강호,김유정,강남미,이대연,최희진,이병준,이용녀,차순배,박명신"
18,다빈치 코드,2006-05-18,"18,873,057,800",1.1%,"18,873,057,800","3,022,936","3,022,936",514,"42,856",미국,미국,,소니픽쳐스릴리징코리아,15세관람가,"미스터리,스릴러",론 하워드,"톰 행크스,오드리 토투"
19,미스터 & 미세스 스미스,2005-06-16,"18,900,071,500",1.1%,"18,900,071,500","2,963,193","2,963,193",302,"45,087",미국,미국,뉴리전시 픽쳐스,이십세기폭스필름코퍼레이션,15세관람가,"멜로/로맨스,액션,어드벤처,스릴러",더그 라이만,"안젤리나 졸리,브래드 피트,빈스 본"
20,너는 내 운명,2005-09-23,"17,653,822,500",1.1%,"17,653,822,500","2,701,244","2,701,244",306,"46,674",한국,한국,(주)영화사봄,CJ ENM,18세관람가,멜로/로맨스,박진표,"전도연,황정민,나문희,서주희,윤제문,김상호,이민아,임종윤,신수현,정광재,박명규,정영헌,김수연,이경아,이규복,한지원,이미소,고수희,박진우,김학선,오정세,김광규,김부선,정유석,유지연,류승수,김정영,손경원"
21,우주전쟁,2005-07-07,"16,758,594,690",1.0%,"16,758,594,690","2,642,874","2,642,874",401,"37,362",미국,미국,"엠블린엔터테인먼트,드림웍스 SKG,파라마운트 픽쳐스",UIP코리아,12세관람가,"드라마,액션,SF,스릴러",스티븐 스필버그,"톰 크루즈,저스틴 채트윈,다코타 패닝,미란다 오토"
22,마파도,2005-03-10,"16,751,202,503",1.0%,"16,751,202,503","2,636,857","2,636,857",178,"49,473",한국,한국,코리아 엔터테인먼트,CJ ENM,15세관람가,코미디,추창민,"김수미,여운계,이정진,이문식,오달수,유해진,홍성훈,최주현,김보리,유인수,김종보,이종윤,서영희,정은표,길해연,정대용,김상호,김정영"
23,가문의 부활 - 가문의 영광3,2006-09-21,"15,996,330,400",1.0%,"15,996,330,400","2,598,859","2,598,859",444,"51,434",한국,한국,(주)태원엔터테인먼트,(주)쇼박스,15세관람가,코미디,정용기,"신현준,김원희,김수미,탁재훈,김도연,김응수,강병조,김홍규,임형준,박영식,백승주,고영식,고영식,권오태,서명석,서명석,서명석,서승인,김경준,민수진,유경미,장지은,이승철,오상만,이한글,공형진,정준하,김용건,김해곤,신이,장준휘,이민웅"
24,우리들의 행복한 시간,2006-09-14,"14,938,308,000",0.9%,"14,938,308,000","2,472,035","2,472,035",414,"47,297",한국,한국,"(주)엘제이필름,상상필름(주)",(주)프라임엔터테인먼트,15세관람가,드라마,송해성,"강동원,이나영,윤여정,김지영,최정우,조민기,강신일,권오훈,강선아,이훈진,김자영,정연주,지용석,김진희,김종길,이유진,이현배,이재진,오정세,김부선,최욱,정인기,김자영"
25,박물관이 살아있다!,2006-12-21,"13,344,327,300",0.8%,"13,344,327,300","2,336,453","2,336,453",345,"22,483",미국,미국,"이십세기폭스필름코퍼레이션,1492픽쳐스",이십세기폭스코리아(주),전체관람가,"코미디,어드벤처",숀 레비,"벤 스틸러,로빈 윌리엄스"
26,포세이돈,2006-05-31,"14,588,094,300",0.9%,"14,588,094,300","2,316,695","2,316,695",338,"43,841",미국,미국,워너 브러더스 픽쳐스,워너브러더스 코리아(주),12세관람가,"액션,드라마,스릴러",볼프강 페터젠,"커트 러셀,조쉬 루카스"
27,음란서생,2006-02-23,"14,944,528,700",0.9%,"14,944,528,700","2,304,365","2,304,365",347,"38,964",한국,한국,(주)영화사비단길,CJ ENM,18세관람가,"사극,코미디",김대우,"한석규,이범수,김민정,오달수,김뢰하,안내상,김기현,우현,김병옥,진경,홍의정,조영호,나미란,임효우,전충룡,서명석,유지혜,권순규,김창영,오권열,라미란,최명수,최종률,김강일,이순재,오태경,정인기,최교식"
28,내 생애 가장 아름다운 일주일,2005-10-07,"14,710,541,000",0.9%,"14,710,541,000","2,290,709","2,290,709",296,"41,058",한국,한국,"(주)두사부필름,(주)수필름",CJ ENM,15세관람가,멜로/로맨스,민규동,"황정민,엄정화,김유정,김윤석,진태현,임창정,정경호,최원석,김수로,정혜영,조상철,김민섭,박준석,전성호,한상훈,서성종,김다인,김도민,유근희,김성래,최민규,전창훈,박상현,임이랑,이주리,김승원,이진호,이은희,이현,이현규,서영희,박진우,우현,주현,정경호,조희봉,이세영,류승수"
29,"나니아 연대기-사자,마녀 그리고 옷장",2005-12-29,"13,232,104,500",0.8%,"13,232,104,500","2,168,487","2,168,487",275,"29,761",미국,미국,월트 디즈니 픽쳐스,브에나비스타인터내셔널코리아,전체관람가,"가족,어드벤처,판타지",앤드류 아담슨,"조지 헨리,스캔더 킨즈"
30,"달콤, 살벌한 연인",2006-04-06,"13,426,707,100",0.8%,"13,426,707,100","2,077,590","2,077,590",246,"38,034",한국,한국,"(주)싸이더스,(주)MBC씨앤아이",CJ ENM,18세관람가,"스릴러,멜로/로맨스",손재곤,"박용우,최강희,정경호,박준오,이광우,김권태,유주희,윤혜진,오유진,조은지,선우선,김기천,조영규"
31,박수칠 때 떠나라,2005-08-11,"13,181,626,500",0.8%,"13,181,626,500","2,073,641","2,073,641",237,"32,149",한국,한국,(주)어나더썬데이,(주)시네마서비스,15세관람가,"드라마,코미디,미스터리",장진,"차승원,신하균,김지수,박정아,박은주,조정진,인정주,정규수,임미연,정영호,윤진호,이태상,이해영,이형곤,정동환,장소연,장영남,이철민,이한위,황정민"
32,광식이 동생 광태,2005-11-23,"12,811,265,009",0.8%,"12,811,265,009","2,024,818","2,024,818",276,"35,769",한국,한국,(주)엠케이픽처스,(주)엠케이픽처스,15세관람가,코미디,김현석,"김주혁,봉태규,이요원,김아중,정경호,최은정,민도기,김성훈,김효주,김형민,유정민,박선민,이대연,박철민"
33,맨발의 기봉이,2006-04-26,"12,239,242,400",0.7%,"12,239,242,400","2,005,180","2,005,180",271,"39,975",한국,한국,(주)태원엔터테인먼트,(주)쇼박스,전체관람가,"드라마,코미디,가족",권수경,"신현준,김수미,김효진,오수현,정구영,강낙호,최진용,김현경,박상희,최양락,이정주,임하룡,조덕현,탁재훈,지대한,권병길"
34,혈의 누,2005-05-04,"12,367,486,506",0.7%,"12,367,486,506","1,926,592","1,926,592",264,"35,167",한국,한국,"(주)싸이더스,(주)좋은영화",(주)시네마서비스,18세관람가,스릴러,김대승,"차승원,박용우,지성,윤세아,최종원,박철민,유해진,박충선,장석원,서상원,임종윤,정진오,천호진,오현경,권태원,김기천"
35,댄서의 순정,2005-04-28,"11,674,131,000",0.7%,"11,674,131,000","1,856,759","1,856,759",240,"36,482",한국,한국,(주)컬처캡미디어,쇼이스트(주),12세관람가,드라마,박영훈,"박건형,김은경,문근영,김지영,임진승,최진석,박현규,김병일,류지원,이혜정,김인희,이정희,이대연,우기홍,정인기"
36,작업의 정석,2005-12-21,"11,706,585,100",0.7%,"11,706,585,100","1,853,623","1,853,623",260,"28,423",한국,한국,영화사청어람(주),(주)쇼박스,15세관람가,코미디,오기환,"손예진,송일국,김애경,박용우,안선영,박준규,신주연,신준하,서민희,고재욱,윤영준,정민호,박준규,우현,금보라,강두,정성일"
37,비열한 거리,2006-06-15,"11,664,597,600",0.7%,"11,664,597,600","1,829,887","1,829,887",306,"34,064",한국,한국,(주)싸이더스,CJ ENM,18세관람가,"액션,범죄,드라마",유하,"조인성,천호진,김원진,남궁민,이보영,진구,윤제문,선우은숙,이종혁,김효선,신윤철,박효준,조진웅,문성혁,조진철,박유민,안용우,장보경,박진성,김광수,김상식,박경민,홍의정,김필수,윤소영,박민우,박병렬,전경수,임미경,정미소,박세환,임정우,김철준,정재은,오기환,김정한,서민경,김병춘,김영필,이신성,이양희,류성현,이정민,신유람,박혁민,조운,이현우"
38,엑스맨 : 최후의 전쟁,2006-06-15,"11,275,475,200",0.7%,"11,275,475,200","1,793,310","1,793,310",373,"38,570",미국,미국,이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),12세관람가,"SF,액션",브렛 래트너,"휴 잭맨,할리 베리,이안 맥켈런"
39,콘스탄틴,2005-02-08,"11,164,582,000",0.7%,"11,164,582,000","1,736,163","1,736,163",177,"26,430",미국,미국,워너 브러더스 픽쳐스,워너브러더스 코리아(주),15세관람가,"드라마,액션,스릴러,판타지",프란시스 로렌스,"키아누 리브스,레이첼 와이즈,시아 라뵈프"
