■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-08-06,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2007-01-01~2008-12-31   영화구분: 일반영화   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,디워,2007-08-01,"49,340,084,700",2.7%,"49,340,084,700","7,855,474","7,855,474",622,"96,439",한국,한국,㈜영구아트,(주)쇼박스,12세이상관람가,"액션,판타지",심형래,"브룩스 아만다,베어 제이슨"
2,트랜스포머,2007-06-28,"47,629,715,338",2.6%,"47,629,715,338","7,391,147","7,391,147",863,"92,322",미국,미국,"드림웍스픽쳐스,드림웍스 SKG,파라마운트 픽쳐스",CJ ENM,12세이상관람가,"SF,액션,어드벤처",마이클 베이,"샤이아 라보프,메간 폭스"
3,화려한 휴가,2007-07-25,"44,098,519,600",2.4%,"44,098,519,600","6,855,314","6,855,314",551,"96,528",한국,한국,기획시대(주),CJ ENM,12세이상관람가,드라마,김지훈,"김상경,이창민,안성기,이요원,이준기,박철민,송진호,김명훈,신진철,황대원,김하림,조일연,박지운,한대관,백광두,주현철,김도일,유현진,이희원,박민수,임남혁,박병렬,박상준,임종민,임왕섭,김철기,김철준,정재헌,이강영,이규현,김용욱,이재열,이정국,이종대,손병호,이얼,황영희,엄효섭,곽민호,오희준,임현성,권태원,전국향,정인기,김봉수,신유람,최원"
4,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"43,747,552,000",2.4%,"43,747,552,000","6,684,933","6,684,933",824,"93,477",한국,한국,"(주)다크서클픽쳐스,(주)바른손이앤에이",CJ ENM,15세이상관람가,"서부극(웨스턴),액션,어드벤처",김지운,"송강호,이병헌,정우성,오달수,엄지원,김광일,손병호,이청아,김선영,성정훈,송승현,신상우,조화성,박광복,송영창,윤영우,정성우,이한솔,양명헌,박진우,조덕제,최진호,진선규,정세형,윤제문,류승수,홍기준,오연아,류제승,이정민,양도현,오일용"
5,추격자,2008-02-14,"33,986,959,000",1.8%,"33,986,959,000","5,046,096","5,046,096",433,"106,805",한국,한국,(주)영화사비단길,(주)쇼박스,청소년관람불가,"범죄,스릴러,액션",나홍진,"김윤석,하정우,서영희,박효주,김유정,최정우,정인기,최지윤,김은성,최홍석,박지안,박진성,노현정,이민복,최문수,유원선,구태진,전진배,유지연,이철오,이인철,박진우,송요셉,조세영,조덕제,하성광,이장유,오연아,손희순,김영선"
6,쿵푸 팬더,2008-06-05,"29,996,476,000",1.6%,"29,996,476,000","4,653,929","4,653,929",563,"79,850",미국,미국,,CJ ENM,전체관람가,"애니메이션,코미디,액션,가족","마크 오스본,존 스티븐슨","더스틴 호프만,루시 루,잭 블랙,안젤리나 졸리,성룡,김기현"
7,스파이더맨 3,2007-05-01,"29,511,658,000",1.6%,"29,511,658,000","4,592,309","4,592,309",806,"79,966",미국,미국,"콜럼비아 픽쳐스 코포레이션,마블 엔터프라이즈",한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,SF",샘 레이미,"토비 맥과이어,커스틴 던스트"
8,캐리비안의 해적: 세상의 끝에서,2007-05-23,"29,133,447,500",1.6%,"29,133,447,500","4,571,229","4,571,229",953,"78,007",미국,미국,"제리 브룩하이머 필름,월트 디즈니 픽쳐스",한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,코미디,어드벤처,판타지",고어 버빈스키,"조니 뎁,올랜도 블룸"
9,맘마미아!,2008-09-03,"29,571,255,750",1.6%,"29,571,255,750","4,552,475","4,552,475",451,"111,024",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"멜로/로맨스,뮤지컬",필리다 로이드,"아만다 사이프리드,메릴 스트립,콜린 퍼스"
10,과속스캔들,2008-12-03,"28,506,879,500",1.5%,"28,506,879,500","4,361,509","4,361,509",408,"62,296",한국,한국,"(주)토일렛픽쳐스,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,코미디,강형철,"차태현,박보영,왕석현,임지규,황우슬혜,정원중,김기방,김혜진,노수정,류수경,김준호,문수진,김태형,김웅,이희상,임진순,김민채,김수완,박용준,정준영,정진희,정하린,김진,김준영,이준혁,성지루,김한국,고준,고준,박영서"
11,강철중: 공공의 적 1-1,2008-06-19,"28,638,460,100",1.6%,"28,638,460,100","4,313,101","4,313,101",707,"74,157",한국,한국,"(주)시네마서비스글로벌,(주)시네마서비스","CJ ENM,(주)시네마서비스",15세이상관람가,"드라마,액션",강우석,"설경구,정재영,강신일,유해진,탁트인,이상현,김윤성,이재원,조한영,박창용,박태훈,김건호,김재득,임장현,이민호,김태한,정원중,김영옥,김영필,이한솔,리우진,박혁민,차영남,박영서"
12,아이언맨,2008-04-30,"27,798,047,000",1.5%,"27,798,047,000","4,290,816","4,290,816",592,"77,942",미국,미국,,CJ ENM,12세이상관람가,"SF,드라마,액션",존 파브로,"로버트 다우니 주니어,테렌스 하워드,제프 브리지스,기네스 팰트로우"
13,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"26,689,440,000",1.4%,"26,689,440,000","4,111,753","4,111,753",771,"75,393",미국,미국,,CJ ENM,12세이상관람가,"액션,어드벤처",스티븐 스필버그,"해리슨 포드,샤이아 라보프"
14,미이라 3:황제의 무덤,2008-07-30,"26,217,311,000",1.4%,"26,217,311,000","4,090,885","4,090,885",634,"64,779",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,판타지",롭 코헨,"브렌든 프레이저,마리아 벨로,이연걸"
15,다크 나이트,2008-08-06,"26,878,184,500",1.5%,"26,878,184,500","4,060,490","4,060,490",462,"63,561",미국,미국,,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",15세이상관람가,"범죄,드라마,액션,미스터리",크리스토퍼 놀란,"크리스찬 베일,마이클 케인,히스 레저,아론 에크하트,매기 질렌할,게리 올드만,모건 프리먼"
16,우리 생애 최고의 순간,2008-01-10,"26,119,898,000",1.4%,"26,119,898,000","4,018,872","4,018,872",418,"70,724",한국,한국,(주)엠케이픽처스,(주)싸이더스,전체관람가,드라마,임순례,"문소리,김정은,엄태웅,김지영,조은지,이미도,조영진,이봉규,정석용,하정우,정세형,김종언,김효선,김혜진,김미나,박현진,배태종,백배정,강선희,강성규,강재원,서승현,김경화,이상미,임길섭,김미소,이설화,손은선,오아름,이수정,정인화,김정심,최은영,이대진,양동명,조덕제,박원상,류승수,성지루,최욱,남궁은숙,차민지,박준혁,오창경"
17,신기전,2008-09-04,"24,326,353,000",1.3%,"24,326,353,000","3,728,430","3,728,430",585,"78,462",한국,한국,(주)시네마서비스글로벌,CJ ENM,15세이상관람가,"사극,드라마,액션,전쟁",김유진,"정재영,한은정,안성기,허준호,김명수,신정근,조원희,이광희,박윤희,조주현,최만수,박보람,박성배,이승근,이연우,김진규,이기오,주부진,이정인,김용재,이영수,김서현,김강일,김명국,차순배,리우진,이람"
18,해리 포터와 불사조 기사단,2007-07-11,"22,899,775,300",1.2%,"22,899,775,300","3,691,060","3,691,060",768,"52,349",미국,미국,"워너 브러더스 픽쳐스,헤이데이필름",워너브러더스 코리아(주),전체관람가,"판타지,액션,어드벤처",데이빗 예이츠,"다니엘 래드클리프,루퍼트 그린트"
19,다이 하드 4 : 죽어도 산다,2007-07-17,"20,622,308,900",1.1%,"20,622,308,900","3,176,937","3,176,937",528,"47,011",미국,미국,"샤이엔 엔터프라이지즈,이십세기폭스필름코퍼레이션",이십세기폭스필름코퍼레이션,12세이상관람가,액션,렌 와이즈먼,"브루스 윌리스,매기 큐"
20,그놈 목소리,2007-02-01,"17,598,617,600",1.0%,"17,598,617,600","2,972,299","2,972,299",498,"48,673",한국,한국,영화사 집,CJ ENM,12세이상관람가,"드라마,스릴러",박진표,"설경구,김남주,김영철,강동원,송영창,고수희,김광규,전혜진,임종윤,김영필,김호연,양현우,송준호,신수현,신승희,김이숙,박태준,유원선,장건재,김기성,국동석,오원식,오동식,송요셉,박진우,정대용,최종률,윤제문,나문희,최정윤,장원영,박현영,유지연,손경원"
21,식객,2007-11-01,"18,979,312,500",1.0%,"18,979,312,500","2,964,374","2,964,374",406,"67,299",한국,한국,쇼이스트(주),CJ ENM,12세이상관람가,드라마,전윤수,"김강우,이하나,이태리,임원희,김성원,함영희,김효석,김명자,김미수,정진,김현구,이동근,유재영,이석은,전민우,전병문,박상인,정주현,이기석,이기준,양우진,김종대,정진,허영만,정은표,오정세,박길수,안길강,전국환,김상호,권병길,정진,이주실"
22,300,2007-03-14,"18,683,698,500",1.0%,"18,683,698,500","2,929,561","2,929,561",402,"60,856",미국,미국,워너 브러더스 픽쳐스,워너브러더스 코리아(주),청소년관람불가,액션,잭 스나이더,"제라드 버틀러,레나 헤디"
