,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
0,구원을 찾아서,,132000,132000,29,29,1,3,미국,,,,조세프 본 스텐버그,
1,마카오,,153000,153000,34,34,1,3,미국,,,,조세프 본 스텐버그,
2,악마는 여자다,,184000,184000,35,35,1,4,미국,,,,조세프 본 스텐버그,
3,상하이 익스프레스,,34000,238000,5,43,1,2,미국,,,,조세프 본 스텐버그,
4,금발의 비너스,,217000,217000,46,46,1,4,미국,,,,조세프 본 스텐버그,
5,푸른 천사,,240000,240000,48,48,1,3,독일,,,,조세프 본 스텐버그,
6,불명예,,146000,256000,29,51,1,2,미국,,,,조세프 본 스텐버그,
7,상하이 제스처,,80000,280000,17,57,1,2,미국,,,,조세프 본 스텐버그,
8,마지막 명령,,230000,364000,46,73,1,3,미국,,,,조세프 본 스텐버그,
9,죄와 벌,,404000,404000,80,80,1,3,미국,,,,조세프 본 스텐버그,
10,뉴욕의 선창,,244000,420000,49,82,1,3,미국,,,,조세프 본 스텐버그,
11,아나타한,,364000,566000,77,123,1,3,일본,,,,조세프 본 스텐버그,
12,모로코,,26000,4431000,13,2090,1,1,미국,,,,조세프 본 스텐버그,
13,전웅 맥아더,1977-12-22,117000,302000,39,115,1,1,미국,,,,조세프 서전트,
14,4인의 무뢰한,1971-05-28,2628000,2628000,1309,1309,1,15,미국,,,서부,조세프 페브니,"제프 캔들러,존 색슨,돌로레스 하트"
15,전함 발진하라,,3018000,3018000,1509,1509,1,20,미국,,,,조세프 페브니,
16,행복에 젖은 아가씨,,1032000,3645000,511,1763,1,22,미국,,,멜로/로맨스,조세프 페브니,"제임스 가너,나탈리 우드,니나 포크"
17,마일드 앤 러블리,2016-06-30,2599000,2599000,469,469,4,44,미국,알토미디어(주),청소년관람불가,멜로/로맨스,조세핀 데커,"조 스완버그,소피 트라우브"
18,드레스메이커,2016-02-11,447353000,447353000,56316,56316,176,3058,호주,(주)리틀빅픽쳐스,15세이상관람가,드라마,조셀린 무어하우스,"케이트 윈슬렛,주디 데이비스,리암 헴스워스,휴고 위빙,사라 스누크"
19,건크레이지,,54000,302000,27,75,1,2,미국,,,범죄,조셉 H. 루이스,"페기 커민스,존 달,베리 크뢰거"
20,분노의 전차군단,2017-05-08,3000,3000,1,1,1,1,미국,(주) 케이알씨지,[국내] 15세 관람가,전쟁,조셉 J. 로손,"톰 스테드햄,빌 부리스,티노 스트럭만"
