,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
0,월드 워 핵전쟁의 서막,2019-03-07,26000,26000,17,17,5,17,뉴질랜드,(주)풍경소리,[국내] 15세 관람가,액션,A.K. 스트롬,"모건 브래들리,그레이엄 빈센트,캠벨 루셀"
1,울프라이징,2016-11-17,300000,300000,60,60,1,1,미국,주식회사 루믹스미디어,15세이상관람가,공포(호러),BC 퍼트니,빌 오버스트 주니어
2,제3의앵글 : 형형색색대만전,,1830000,1830000,305,305,1,2,대만,,,,BITO,
3,잃어버린 세계를 찾아 2015,2015-12-03,4000,4000,1,1,1,1,미국,(주)케이알씨지,12세이상관람가,어드벤처,C. 토마스 하우웰,"C. 토마스 하우웰,티모시 바톰즈"
4,과부: 탐스러운 육체,2016-11-19,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,C.나가후쿠,"타치바나 케이코,이치죠 리노"
5,페이스트리의 왕,,642000,642000,107,107,1,2,미국,,,,"D.A. 페네베이커,크리스 헤지더스",
6,스탠딩 업,2015-09-24,5000,5000,1,1,1,1,미국,(주)블루브릭,12세이상관람가,가족,D.J. 카루소,"챈들러 캔터베리,라다 미첼,발 킬머"
7,트리플 엑스 리턴즈,2017-02-08,-327632201,-327632201,475309,475309,590,20692,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,D.J. 카루소,"빈 디젤,사무엘 L. 잭슨,루비 로즈,니나 도브레브,토니 콜렛,디피카 파드콘,토니 자"
8,아이 엠 넘버 포,2011-02-24,660248204,660248204,654386,654386,284,22145,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,D.J. 카루소,"티모시 올리펀트,알렉스 페티퍼"
9,레커스,2014-04-03,16066000,16066000,2263,2263,15,298,영국,㈜인디스토리,청소년관람불가,멜로/로맨스,D.R. 후드,"베네딕트 컴버배치,클레어 포이,숀 에반스"
10,동쪽 저 멀리,,160000,160000,31,31,1,3,미국,,,,D.W. 그리피스,
11,뱀파이어의 그림자,,101500,101500,15,15,1,2,룩셈부르크,,청소년 관람불가 ,공포,E. 엘리아스 메리지,"존 말코비치,윌렘 대포,캐리 엘위스"
12,네고시에이터,1998-10-24,57000,57000,19,19,1,1,미국,,15세 관람가 ,액션,F. 게리 그레이,"사무엘 L. 잭슨,케빈 스페이시,데이빗 모스"
13,스트레이트 아웃 오브 컴턴,2015-09-10,412749800,412749800,48844,48844,185,2766,미국,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,드라마,F. 게리 그레이,"오셔 잭슨 주니어,코리 호킨스,제이슨 미첼,닐 브라운 주니어,알디스 호지,폴 지아마티"
14,맨 인 블랙: 인터내셔널,2019-06-12,-1125725022,-1125725022,851917,851917,1151,40520,미국,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,액션,F. 게리 그레이,"크리스 헴스워스,테사 톰슨,리암 니슨,엠마 톰슨"
15,분노의 질주: 더 익스트림,2017-04-12,63421000,-20193724,6445,3659683,35,972,미국,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드,커트 러셀,미셸 로드리게즈,엘자 패터키,에바 멘데스,헬렌 미렌,조다나 브루스터,루카스 블랙,타이레스 깁슨,루다크리스"
16,노스페라투,,750000,750000,111,111,1,3,독일,,,,F.W. 무르나우,
17,터부,,246000,584000,53,122,1,3,미국,,,,F.W. 무르나우,
18,선라이즈,,133000,2837000,17,432,1,2,미국,,,,F.W. 무르나우,
19,농부의 딸,,326000,326000,158,158,1,6,미국,,,코미디,H.C. 포터,"로레타 영,조셉 거튼,에델 베리모어"
20,상간녀,2016-08-26,270000,270000,54,54,1,1,미국,(주)엘케이픽쳐스,청소년관람불가,스릴러,H.M. 콕클리,"숀 패리스,다니엘 세브리"
21,여닌자:음기로 가득찬 자매,2018-05-28,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,H.카와사키,
22,제 5침공,2016-02-25,1041049900,1041049900,135874,135874,312,5195,미국,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,액션,J 블레이크슨,"클로이 모레츠,닉 로빈슨,알렉스 로"
23,태양의 왕,,235000,802000,99,306,1,4,미국,,,모험,J. 리 톰슨,"율 브린너,조지 샤키리스,셜리 앤 필드"
24,케이프 피어,,72000,2326000,24,558,1,1,미국,,청소년 관람불가 ,드라마,J. 리 톰슨,"그레고리 펙,로버트 미첨,폴리 버겐"
25,페세이지,1979-07-05,1924000,5596000,962,2757,1,16,미국,,청소년 관람불가 ,액션,J. 리 톰슨,"안소니 퀸,제임스 메이슨,말콤 맥도웰"
26,나바론 요새,1974-07-20,4228000,23458104,2109,12032,1,49,미국,,,액션,J. 리 톰슨,"그레고리 펙,안소니 퀸,데이빗 니븐"
27,대장 부리바,1973-06-29,1290000,28200000,634,13554,1,19,미국,,[국내] 12세 관람가,전쟁,J. 리 톰슨,"토니 커티스,율 브린너,샘 워너메이커"
28,"마진 콜: 24시간, 조작된 진실",2013-01-03,46371500,50779500,6409,7086,30,446,미국,(주)팝파트너스,15세이상관람가,스릴러,J.C 챈더,"케빈 스페이시,데미 무어,사이먼 베이커,재커리 퀸토,제레미 아이언스,스탠리 투치,폴 베타니,펜 바글리"
29,모스트 바이어런트,2015-04-02,79886925,79886925,10175,10175,71,1062,미국,(주)영화사 진진,15세이상관람가,범죄,J.C 챈더,"오스카 아이삭,제시카 차스테인"
30,올 이즈 로스트,2013-11-07,102751500,102751500,13885,13885,33,857,미국,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,J.C 챈더,로버트 레드포드
31,슈퍼 에이트,2011-06-16,-671828796,-671828796,472157,472157,411,21884,미국,(주)씨제이이엔엠,12세이상관람가,SF,J.J. 에이브럼스,"조엘 코트니,엘르 패닝"
32,스타워즈: 라이즈 오브 스카이워커,2020-01-08,417934914,417934914,507889,507889,957,28696,미국,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,J.J. 에이브럼스,"데이지 리들리,아담 드라이버,오스카 아이삭,존 보예가"
33,스타 트렉: 더 비기닝,2009-05-07,1660000,-1340376092,166,1085447,1,1,미국,CJ ENM,12세이상관람가,SF,J.J. 에이브럼스,"크리스 파인,재커리 퀸토,칼 어번"
