,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
106,"[통합]회고전, 기획전 등",,449723300,449723300,95296,95296,7,1793,,,,,,
150,[통합]영화패키지상영,,306097000,306097000,34932,34932,23,533,,,,,,
216,[통합]단편영화,,24322000,24322000,4651,4651,2,318,기타,,,,,
550,2005 [통합]패키지영화,,1623473500,1623473500,234307,234307,18,6398,기타,,,,,
623,2006 [통합]영화제/기획전/회고전 등,,565972200,565972200,103539,103539,15,2245,,,,,,
648,2005 [통합]영화제/기획전/회고전 등,,411069500,411069500,75271,75271,5,1889,,,,,,
725,2006 [통합]패키지영화,,169180000,169180000,17729,17729,14,248,기타,,,,,
738,일본 인디필름 페스티벌,,80707000,80707000,13464,13464,2,224,일본,,,,,
763,"[통합]회고전, 기획전 등",,51276000,500999300,9513,104809,2,185,,,,,,
767,제2회 메가박스 일본영화제[2005.11.10-11.24],2005-11-10,20778000,20778000,9068,9068,3,133,일본,,,,,
768,제6회 서울유럽영화제[2005.10.26-10.30],2005-10-26,51856000,51856000,9045,9045,4,63,,,,,,
778,CJ 아시아인디영화제[2005.11.3-11.8],2005-11-03,25184000,25184000,7653,7653,4,95,,,,,,
790,SICAF2006 서울국제만화애니페스티벌(0524-0528),2006-05-24,32118000,32118000,6280,6280,3,107,,,,,,
795,제5회 미장센단편영화제(2006),2006-06-29,18263500,18263500,5864,5864,3,53,,,,,,
804,2005년 미장센 단편영화제,2005-06-23,15459500,15459500,4949,4949,3,61,,,,,,
807,SICAF2005 서울국제만화애니페스티벌(0811-0816),,21759000,21759000,4787,4787,4,113,,,,,,
816,2005칸국제광고제 수상작 필름페스티벌,2005-10-29,29712500,29712500,4273,4273,1,42,,,,,,
817,서울애니마떼끄 최강애니전,,13053000,13053000,4226,4226,1,33,,,,,,
827,제5회프랑스영화제 15편(2005.5.25_6.12),2005-05-26,18983500,18983500,3617,3617,2,115,프랑스,,,,,
852,서울독립영화제2005,2005-12-09,10139500,10139500,2718,2718,3,76,,,,,,
856,2005 [통합]단편영화,,13537500,13537500,2622,2622,4,170,기타,,,,,
865,CGV 한국단편 애니메이션영화제2006[4.20-4.23],2006-04-22,7261500,7261500,2409,2409,4,64,한국,,,,,
875,[팡테옹 뒤 시네마 프랑세]영화제(2006),2006-08-31,14792500,14792500,2115,2115,1,22,프랑스,,,,,
908,2006CJ중국영화제,2006-09-01,4692000,4692000,1514,1514,3,32,,,,,,
