영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
나의 고향,,143,143,1,1,1,1,폴란드,,,애니메이션,,
디스턴스,,143,143,1,1,1,1,폴란드,,,애니메이션,,
문명사회,,143,143,1,1,1,1,불가리아,,,애니메이션,,
바다의 법,,143,143,1,1,1,1,불가리아,,,애니메이션,,
비,,143,143,1,1,1,1,불가리아,,,애니메이션,,
스노보드,,143,143,1,1,1,1,불가리아,,,애니메이션,,
어디에나 있는 앨리스,,143,143,1,1,1,1,폴란드,,,애니메이션,,
언더라이프,,143,143,1,1,1,1,폴란드,,,애니메이션,,
유행,,143,143,1,1,1,1,불가리아,,,애니메이션,,
이야기,,143,143,1,1,1,1,불가리아,,,애니메이션,,
태양,,143,143,1,1,1,1,폴란드,,,애니메이션,,
푸른 예술가들이 예술을 창조한다,,143,143,1,1,1,1,폴란드,,,애니메이션,,
등대,,144,144,1,1,1,1,불가리아,,,애니메이션,,
선비의 네 친구 문방사우,,300,300,1,1,1,1,한국,,,애니메이션,,
페어리테일,,625,625,1,1,1,1,,,,애니메이션,,
스노우 래빗,,667,667,1,1,1,1,한국,,전체관람가,애니메이션,,
성적순위,,800,800,1,1,1,1,한국,,,장르없음,,
술 마시기 좋은 날,,800,800,1,1,1,1,한국,,,장르없음,,
오피스맨,,833,833,1,1,1,1,한국,,,애니메이션,,
아빠의 눈물,,1000,1000,1,1,1,1,한국,,,애니메이션,,
E-19 바이러스,2018-04-09,1000,1000,1,1,1,1,미국,주식회사 레드아이스,청소년관람불가,장르없음,,
겟 아웃 맨,2018-08-12,1000,1000,1,1,1,1,미국,(유)조이앤시네마,15세이상관람가,스릴러,,
더 콜러,2018-12-06,1000,1000,1,1,1,1,미국,주식회사 레드아이스,청소년관람불가,공포(호러),,"제임스 듀발,나단 벡스튼,존 조"
디 아이즈,2018-06-15,1000,1000,1,1,1,1,미국,주식회사 레드아이스,15세이상관람가,범죄,,"니콜라스 터투로,빈센트 파스토레"
