,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독
0,점입가경,2008-06-27,5000,5000,1,1,1,1,한국,,,장르없음,문성일
1,시저와 클레오파트라,1954-10-27,2090000,11169000,1045,5230,1,12,영국,,12세 관람가 ,장르없음,가브리엘 파스칼
2,수자쿠,Apr-08,864000,2627500,127,401,1,2,일본,,,장르없음,가와세 나오미
3,콜디츠 스토리,,1894000,1894000,947,947,1,15,영국,,,장르없음,가이 해밀튼
4,즐기는 성희 마사지,2018-09-06,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,가토 유야
5,일정식집 거유모녀,2018-07-12,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,가토 코우지
6,우리가족같이,2018-10-29,976000,976000,177,177,19,19,한국,,[국내] 청소년 관람불가,장르없음,감수성
7,매혈,,21250,21250,17,17,1,1,한국,,,장르없음,강경태
8,무덤가,,21250,21250,17,17,1,1,한국,,,장르없음,강경태
9,헝거,,385000,385000,55,55,1,3,한국,,,장르없음,강다연
10,사랑의 원자탄,1977-11-09,3288000,3288000,1627,1627,1,46,한국,,[국내] 12세 관람가,장르없음,강대진
11,이빨 두 개,,230234,230234,99,99,1,8,한국,인디스토리,,장르없음,강이관
12,사십구일째 날,,24000,311500,6,236,1,1,한국,,,장르없음,강진아
13,저 언덕을 넘어서,1968-05-17,774000,774000,387,387,1,5,한국,,,장르없음,강찬우
14,아름다운 팔도강산,1972-01-01,6343000,9749000,3170,4873,1,45,한국,,[국내] 전체 관람가,장르없음,강혁
15,어린 이모,2018-05-09,1000000,1000000,180,180,20,20,한국,,[국내] 청소년 관람불가,장르없음,계장혁
16,영 앳 하트,,366000,9439000,183,4488,1,8,미국,,[국내] 15세 관람가,장르없음,고든 더글라스
17,디스턴스,,1962000,1962000,337,337,1,3,일본,,,장르없음,고레에다 히로카즈
18,검은 강,,362000,362000,57,57,1,2,일본,,,장르없음,고바야시 마사키
19,철낭자,1971-04-30,890000,2407000,445,1201,1,15,한국,,[국내] 15세 관람가,장르없음,고보수
20,히토키리,,156000,156000,31,31,1,3,일본,,,장르없음,고사 히데오
21,태양은늙지않는다,1970,1819000,1819000,907,907,1,20,한국,,,장르없음,고영남
22,화성에 가다,,5000,5000,1,1,1,1,한국,,,장르없음,고은기
23,비폭력저항: 평화롭게 아내의 입을 틀어막는 법,,145034,145034,144,144,1,8,한국,,,장르없음,곽지혜
24,거미의 눈동자,2004-03-09,398000,398000,61,61,1,2,일본,,,장르없음,구로사와 기요시
25,"군나르, 신을 찾아가다",,108500,108500,25,25,1,2,노르웨이,,,장르없음,군나르 할 옌센
26,배구레슨,,66933,66933,67,67,1,3,한국,,,장르없음,권만기
27,표류도,1960-12-17,1194000,1194000,597,597,1,9,한국,,,장르없음,권영순
28,질식,,373408,373408,224,224,1,4,한국,,,장르없음,권오광
29,기러기 아빠,1970,848000,12172500,424,6082,1,30,한국,,,장르없음,권혁진
30,스테이지 도어,,104000,104000,22,22,1,3,미국,,,장르없음,그레고리 라 카바
31,필 마이 러브,,59000,59000,10,10,1,2,벨기에,,,장르없음,그리에 텍크
32,아내의 폭풍불륜,2017-07-13,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,긴 류지
33,유부녀의 육체정산,2017-08-03,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,긴 류지
34,좋아죽는 미망인,2017-08-10,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,긴 류지
35,초흥분 여관 여주인,2017-08-03,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,긴 류지
36,남편 몰래 날마다 신음하는 거유비서,2018-03-24,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,긴다이치 코고로
37,크로노스,,679000,679000,96,96,1,3,멕시코,,12세 관람가 ,장르없음,길예르모 델 토로
38,호두,,82656,82656,36,36,1,1,한국,,,장르없음,김강수
39,끝나지 않은 세월,,77000,77000,11,11,1,2,한국,,,장르없음,김경률
40,학습된 두려움과 과대망상,,15004,15004,7,7,1,2,한국,,,장르없음,김경만
41,겨울의 피아니스트,,426800,426800,258,258,1,17,한국,,,장르없음,김경희
42,형사 배삼룡,1975-03-22,698000,698000,349,349,1,23,한국,,[국내] 15세 관람가,장르없음,김기
43,떠날 때는 말없이,1964,896000,7077000,448,3536,1,12,한국,,,장르없음,김기덕
