,index,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
0,23682,"416 프로젝트 ""공동의 기억: 트라우마""",,2192500,2192500,437,437,3,17,한국,0,등급없음,다큐멘터리,416연대 미디어위원회,0
1,22580,미씨카: 더 네크로맨서,2017-11-02,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,판타지,A. 토드 스미스,"애덤 존슨,로버트 제인,케빈 소르보"
2,3092,월드 워 핵전쟁의 서막,2019-03-07,26000,26000,17,17,5,17,뉴질랜드,(주)풍경소리,15세이상관람가,액션,A.K. 스트롬,"모건 브래들리,그레이엄 빈센트,캠벨 루셀"
3,3093,울프라이징,2016-11-17,300000,300000,60,60,1,1,미국,주식회사 루믹스미디어,15세이상관람가,공포,BC 퍼트니,빌 오버스트 주니어
4,3094,제3의앵글 : 형형색색대만전,,1830000,1830000,305,305,1,2,대만,0,등급없음,장르없음,BITO,0
5,21171,연쇄살인마의 이중생활,2020-06-18,16000,16000,7,7,5,7,스페인,주식회사 마운틴픽쳐스,15세이상관람가,범죄,C. 마틴 페레라,"안나 알렌,나초 프레스네다,메르세데스 카스트로"
6,20514,몬스터 아일랜드,2017-10-27,3000,3000,1,1,1,1,미국,주식회사 레드아이스,15세이상관람가,어드벤처,C. 블레이크 에번든,존 W. 바우어스
7,3095,잃어버린 세계를 찾아 2015,2015-12-03,4000,4000,1,1,1,1,미국,(주)케이알씨지,12세이상관람가,어드벤처,C. 토마스 하우웰,"C. 토마스 하우웰,티모시 바톰즈"
8,3096,과부: 탐스러운 육체,2016-11-19,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,C.나가후쿠,"타치바나 케이코,이치죠 리노"
9,3097,페이스트리의 왕,,642000,642000,107,107,1,2,미국,0,등급없음,장르없음,"D.A. 페네베이커,크리스 헤지더스",0
10,20795,지옥행 특급택시,2020-01-27,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,SF,D.C. 해밀턴,"지노 안소니 페시,브리나 켈리,제이슨 스튜어트"
11,22589,텔미 하우 아이 다이,2017-09-28,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,스릴러,D.J. 비올라,"버지니아 가드너,윌리엄 매포더,마크 롤스톤"
12,3098,스탠딩 업,2015-09-24,5000,5000,1,1,1,1,미국,(주)블루브릭,12세이상관람가,가족,D.J. 카루소,"챈들러 캔터베리,라다 미첼,발 킬머"
13,145,테이킹 라이브즈,2004-04-15,249467500,249467500,38736,38736,19,1551,미국,워너브러더스 코리아(주),청소년관람불가,스릴러,D.J. 카루소,"에단 호크,안젤리나 졸리,키퍼 서덜랜드"
14,3099,트리플 엑스 리턴즈,2017-02-08,-327632201,-327632201,475309,475309,590,20692,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,D.J. 카루소,"빈 디젤,사무엘 L. 잭슨,루비 로즈,니나 도브레브,토니 콜렛,디피카 파드콘,토니 자"
15,1246,디스터비아,2007-08-30,-2147483648,-2147483648,576120,576120,167,15779,미국,CJ ENM,12세이상관람가,스릴러,D.J. 카루소,"샤이아 라보프,사라 로머"
16,3100,아이 엠 넘버 포,2011-02-24,660248204,660248204,654386,654386,284,22145,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,D.J. 카루소,"티모시 올리펀트,알렉스 페티퍼"
17,1149,이글 아이,2008-10-09,-2147483648,-2147483648,2292172,2292172,407,59132,미국,CJ ENM,12세이상관람가,액션,D.J. 카루소,"샤이아 라보프,미셸 모나한,도니 제프콧"
18,3101,레커스,2014-04-03,16066000,16066000,2263,2263,15,298,영국,㈜인디스토리,청소년관람불가,멜로로맨스,D.R. 후드,"베네딕트 컴버배치,클레어 포이,숀 에반스"
19,3102,동쪽 저 멀리,,160000,160000,31,31,1,3,미국,0,등급없음,장르없음,D.W. 그리피스,0
20,20556,겟 어웨이,2016-12-23,5000,5000,1,1,1,1,미국,주식회사 레드아이스,청소년관람불가,스릴러,Dpyx,캐서린 아네트
21,3103,뱀파이어의 그림자,,101500,101500,15,15,1,2,룩셈부르크,0,청소년관람불가,공포,E. 엘리아스 메리지,"존 말코비치,윌렘 대포,캐리 엘위스"
22,777,서스펙트 제로,2005-03-17,28196000,28196000,4918,4918,12,463,미국,소니픽쳐스릴리징코리아,15세이상관람가,공포,E. 엘리아스 메리지,"아론 에크하트,벤 킹슬리"
23,3104,네고시에이터,1998-10-24,57000,57000,19,19,1,1,미국,0,15세이상관람가,액션,F. 게리 그레이,"사무엘 L. 잭슨,케빈 스페이시,데이빗 모스"
24,699,쿨,2005-04-08,136647000,136647000,21171,21171,48,1537,미국,이십세기폭스필름코퍼레이션,15세이상관람가,코미디,F. 게리 그레이,"존 트라볼타,우마 서먼"
25,3105,스트레이트 아웃 오브 컴턴,2015-09-10,412749800,412749800,48844,48844,185,2766,미국,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,드라마,F. 게리 그레이,"오셔 잭슨 주니어,코리 호킨스,제이슨 미첼,닐 브라운 주니어,알디스 호지,폴 지아마티"
26,2274,모범시민,2009-12-10,-2147483648,-2147483648,800006,800006,312,24611,미국,(주)시너지하우스 (시너지),15세이상관람가,스릴러,F. 게리 그레이,"제라드 버틀러,제이미 폭스"
