영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,감독값,배급사값,배우합,배우평균
"416 프로젝트 ""공동의 기억: 트라우마""",1900-01-01,2192500,2192500,437,437,3,17,한국,0,등급없음,다큐멘터리,0,0,0,0,0
미씨카: 더 네크로맨서,2017-11-02,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,판타지,0,0,40,12875,4291
월드 워 핵전쟁의 서막,2019-03-07,26000,26000,17,17,5,17,기타,주식회사풍경소리,15세이상관람가,액션,0,0,27,0,0
울프라이징,2016-11-17,300000,300000,60,60,1,1,미국,주식회사루믹스미디어,15세이상관람가,공포,0,0,47,1,1
제3의앵글 : 형형색색대만전,1900-01-01,1830000,1830000,305,305,1,2,기타,0,등급없음,장르없음,0,0,0,0,0
연쇄살인마의 이중생활,2020-06-18,16000,16000,7,7,5,7,스페인,주식회사마운틴픽쳐스,15세이상관람가,범죄,0,0,9766,0,0
몬스터 아일랜드,2017-10-27,3000,3000,1,1,1,1,미국,주식회사레드아이스,15세이상관람가,어드벤처,0,0,17,0,0
잃어버린 세계를 찾아 2015,2015-12-03,4000,4000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,12세이상관람가,어드벤처,0,0,1641,10,5
과부: 탐스러운 육체,2016-11-19,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,0,0,6,0,0
페이스트리의 왕,1900-01-01,642000,642000,107,107,1,2,미국,0,등급없음,장르없음,0,0,0,0,0
지옥행 특급택시,2020-01-27,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,SF,0,0,1,0,0
텔미 하우 아이 다이,2017-09-28,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,스릴러,0,0,45,266610,88870
스탠딩 업,2015-09-24,5000,5000,1,1,1,1,미국,(주)블루브릭,12세이상관람가,가족,D.J.카루소,0,0,53203,17734
테이킹 라이브즈,2004-04-15,249467500,249467500,38736,38736,19,1551,미국,워너브러더스코리아(주),청소년관람불가,스릴러,D.J.카루소,0,122984,3698,1232
트리플 엑스 리턴즈,2017-02-08,327632201,327632201,475309,475309,590,20692,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,D.J.카루소,1,900242,2061395,687131
디스터비아,2007-08-30,3790837500,3790837500,576120,576120,167,15779,미국,CJENM,12세이상관람가,스릴러,D.J.카루소,0,841451,3842797,1921398
아이 엠 넘버 포,2011-02-24,660248204,660248204,654386,654386,284,22145,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,D.J.카루소,2292172,764533,227359,113679
이글 아이,2008-10-09,14869812500,14869812500,2292172,2292172,407,59132,미국,CJENM,12세이상관람가,액션,D.J.카루소,576120,942974,3093366,1031122
레커스,2014-04-03,16066000,16066000,2263,2263,15,298,영국,㈜인디스토리,청소년관람불가,멜로로맨스,0,0,1895,1233251,411083
동쪽 저 멀리,1900-01-01,160000,160000,31,31,1,3,미국,0,등급없음,장르없음,0,0,0,0,0
겟 어웨이,2016-12-23,5000,5000,1,1,1,1,미국,주식회사레드아이스,청소년관람불가,스릴러,0,0,37,1,1
뱀파이어의 그림자,1900-01-01,101500,101500,15,15,1,2,기타,0,청소년관람불가,공포,E.엘리아스메리지,0,0,0,0
서스펙트 제로,2005-03-17,28196000,28196000,4918,4918,12,463,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,공포,E.엘리아스메리지,0,196329,131390,65695
