,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우,감독값
0,"416 프로젝트 ""공동의 기억: 트라우마""",1900-01-01,2192500,2192500,437,437,3,17,한국,0,등급없음,다큐멘터리,0,['0'],0
1,미씨카: 더 네크로맨서,2017-11-02,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,판타지,0,"['애덤존슨', '로버트제인', '케빈소르보']",0
2,월드 워 핵전쟁의 서막,2019-03-07,26000,26000,17,17,5,17,기타,주식회사풍경소리,15세이상관람가,액션,0,"['모건브래들리', '그레이엄빈센트', '캠벨루셀']",0
3,울프라이징,2016-11-17,300000,300000,60,60,1,1,미국,주식회사루믹스미디어,15세이상관람가,공포,0,['빌오버스트주니어'],0
4,제3의앵글 : 형형색색대만전,1900-01-01,1830000,1830000,305,305,1,2,기타,0,등급없음,장르없음,0,['0'],0
5,연쇄살인마의 이중생활,2020-06-18,16000,16000,7,7,5,7,스페인,주식회사마운틴픽쳐스,15세이상관람가,범죄,0,"['안나알렌', '나초프레스네다', '메르세데스카스트로']",0
6,몬스터 아일랜드,2017-10-27,3000,3000,1,1,1,1,미국,주식회사레드아이스,15세이상관람가,어드벤처,0,['존W.바우어스'],0
7,잃어버린 세계를 찾아 2015,2015-12-03,4000,4000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,12세이상관람가,어드벤처,0,"['C.토마스하우웰', '티모시바톰즈']",0
8,과부: 탐스러운 육체,2016-11-19,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,0,"['타치바나케이코', '이치죠리노']",0
9,페이스트리의 왕,1900-01-01,642000,642000,107,107,1,2,미국,0,등급없음,장르없음,0,['0'],0
10,지옥행 특급택시,2020-01-27,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,SF,0,"['지노안소니페시', '브리나켈리', '제이슨스튜어트']",0
11,텔미 하우 아이 다이,2017-09-28,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,스릴러,0,"['버지니아가드너', '윌리엄매포더', '마크롤스톤']",0
12,스탠딩 업,2015-09-24,5000,5000,1,1,1,1,미국,(주)블루브릭,12세이상관람가,가족,D.J.카루소,"['챈들러캔터베리', '라다미첼', '발킬머']",0
13,테이킹 라이브즈,2004-04-15,249467500,249467500,38736,38736,19,1551,미국,워너브러더스코리아(주),청소년관람불가,스릴러,D.J.카루소,"['에단호크', '안젤리나졸리', '키퍼서덜랜드']",0
14,트리플 엑스 리턴즈,2017-02-08,327632201,327632201,475309,475309,590,20692,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,D.J.카루소,"['빈디젤', '사무엘L.잭슨', '루비로즈']",1
15,디스터비아,2007-08-30,3790837500,3790837500,576120,576120,167,15779,미국,CJENM,12세이상관람가,스릴러,D.J.카루소,"['샤이아라보프', '사라로머']",0
16,아이 엠 넘버 포,2011-02-24,660248204,660248204,654386,654386,284,22145,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,D.J.카루소,"['티모시올리펀트', '알렉스페티퍼']",2292172
17,이글 아이,2008-10-09,14869812500,14869812500,2292172,2292172,407,59132,미국,CJENM,12세이상관람가,액션,D.J.카루소,"['샤이아라보프', '미셸모나한', '도니제프콧']",576120
18,레커스,2014-04-03,16066000,16066000,2263,2263,15,298,영국,㈜인디스토리,청소년관람불가,멜로로맨스,0,"['베네딕트컴버배치', '클레어포이', '숀에반스']",0
19,동쪽 저 멀리,1900-01-01,160000,160000,31,31,1,3,미국,0,등급없음,장르없음,0,['0'],0
20,겟 어웨이,2016-12-23,5000,5000,1,1,1,1,미국,주식회사레드아이스,청소년관람불가,스릴러,0,['캐서린아네트'],0
21,뱀파이어의 그림자,1900-01-01,101500,101500,15,15,1,2,기타,0,청소년관람불가,공포,E.엘리아스메리지,"['존말코비치', '윌렘대포', '캐리엘위스']",0
22,서스펙트 제로,2005-03-17,28196000,28196000,4918,4918,12,463,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,공포,E.엘리아스메리지,"['아론에크하트', '벤킹슬리']",0
23,네고시에이터,1998-10-24,57000,57000,19,19,1,1,미국,0,15세이상관람가,액션,F.게리그레이,"['사무엘L.잭슨', '케빈스페이시', '데이빗모스']",0
24,쿨,2005-04-08,136647000,136647000,21171,21171,48,1537,미국,이십세기폭스코아(주),15세이상관람가,코미디,F.게리그레이,"['존트라볼타', '우마서먼']",0
25,스트레이트 아웃 오브 컴턴,2015-09-10,412749800,412749800,48844,48844,185,2766,미국,유니버설픽쳐스인터내셔널코리아(유),청소년관람불가,드라마,F.게리그레이,"['오셔잭슨주니어', '코리호킨스', '제이슨미첼']",0
26,모범시민,2009-12-10,5876759500,5876759500,800006,800006,312,24611,미국,(주)시너지하우스(시너지),15세이상관람가,스릴러,F.게리그레이,"['제라드버틀러', '제이미폭스']",0
27,맨 인 블랙: 인터내셔널,2019-06-12,1125725022,1125725022,851917,851917,1151,40520,미국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,액션,F.게리그레이,"['크리스헴스워스', '테사톰슨', '리암니슨']",3659683
28,분노의 질주: 더 익스트림,2017-04-12,63421000,20193724,6445,3659683,35,972,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,액션,F.게리그레이,"['빈디젤', '드웨인존슨', '샤를리즈테론']",48844
29,노스페라투,1900-01-01,750000,750000,111,111,1,3,독일,0,등급없음,장르없음,F.W.무르나우,['0'],0
30,터부,1900-01-01,246000,584000,53,122,1,3,미국,0,등급없음,장르없음,F.W.무르나우,['0'],0
31,선라이즈,1900-01-01,133000,2837000,17,432,1,2,미국,0,등급없음,장르없음,F.W.무르나우,['0'],0
32,농부의 딸,1949-02-17,326000,326000,158,158,1,6,미국,0,등급없음,코미디,0,"['로레타영', '조셉거튼', '에델베리모어']",0
33,상간녀,2016-08-26,270000,270000,54,54,1,1,미국,(주)엘케이픽쳐스,청소년관람불가,스릴러,0,"['숀패리스', '다니엘세브리']",0
34,여닌자:음기로 가득찬 자매,2018-05-28,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,0,['0'],0
35,제 5침공,2016-02-25,1041049900,1041049900,135874,135874,312,5195,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,액션,0,"['클로이모레츠', '닉로빈슨', '알렉스로']",0
36,노예반란,1900-01-01,436000,436000,218,218,1,9,이탈리아,0,등급없음,어드벤처,J.리톰슨,['0'],0
37,맥켄나의 황금,1900-01-01,184000,497000,92,218,1,3,기타,0,등급없음,장르없음,J.리톰슨,"['그레고리펙', '텔리사바라스', '오마샤리프']",0
38,태양의 왕,1900-01-01,235000,802000,99,306,1,4,미국,0,등급없음,모험,J.리톰슨,"['율브린너', '조지샤키리스', '셜리앤필드']",0
39,케이프 피어,1900-01-01,72000,2326000,24,558,1,1,미국,0,청소년관람불가,드라마,J.리톰슨,"['그레고리펙', '로버트미첨', '폴리버겐']",0
40,페세이지,1979-07-05,1924000,5596000,962,2757,1,16,미국,0,청소년관람불가,액션,J.리톰슨,"['안소니퀸', '제임스메이슨', '말콤맥도웰']",0
41,나바론 요새,1974-07-20,4228000,23458104,2109,12032,1,49,미국,0,등급없음,액션,J.리톰슨,"['그레고리펙', '안소니퀸', '데이빗니븐']",13554
42,대장 부리바,1973-06-29,1290000,28200000,634,13554,1,19,미국,0,12세이상관람가,전쟁,J.리톰슨,"['토니커티스', '율브린너', '샘워너메이커']",0
43,데스 에브리데이,2019-09-06,1000,1000,1,1,1,1,미국,(주)알이디아이스엔터,청소년관람불가,공포,0,['0'],0
44,"마진 콜: 24시간, 조작된 진실",2013-01-03,46371500,50779500,6409,7086,30,446,미국,(주)팝파트너스,15세이상관람가,스릴러,J.C챈더,"['케빈스페이시', '데미무어', '사이먼베이커']",0
45,모스트 바이어런트,2015-04-02,79886925,79886925,10175,10175,71,1062,미국,(주)영화사진진,15세이상관람가,범죄,J.C챈더,"['오스카아이삭', '제시카차스테인']",10485
46,올 이즈 로스트,2013-11-07,102751500,102751500,13885,13885,33,857,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,드라마,J.C챈더,['로버트레드포드'],7086
47,슈퍼 에이트,2011-06-16,671828796,671828796,472157,472157,411,21884,미국,CJENM,12세이상관람가,SF,J.J.에이브럼스,"['조엘코트니', '엘르패닝']",1085447
48,스타워즈: 라이즈 오브 스카이워커,2020-01-08,417934914,417934914,507889,507889,957,28696,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,J.J.에이브럼스,"['데이지리들리', '아담드라이버', '오스카아이삭']",0
49,스타 트렉: 더 비기닝,2009-05-07,1660000,1340376092,166,1085447,1,1,미국,CJENM,12세이상관람가,SF,J.J.에이브럼스,"['크리스파인', '재커리퀸토', '칼어번']",0
50,스타트렉 다크니스,2013-05-30,101787612,101787612,1607555,1607555,607,40563,미국,CJENM,12세이상관람가,액션,J.J.에이브럼스,"['크리스파인', '칼어번', '조샐다나']",472157
51,스타워즈: 깨어난 포스,2015-12-17,1710974741,1710974741,3273879,3273879,940,69226,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,J.J.에이브럼스,"['해리슨포드', '마크해밀', '캐리피셔']",1607555
52,미션 임파서블 3,2006-05-03,318000,2090430328,44,5127047,2,11,미국,UIP코리아,15세이상관람가,액션,J.J.에이브럼스,"['톰크루즈', '필립세이모어호프만']",0
53,백악기 꼬마공룡을 찾아서,1900-01-01,350000,350000,70,70,1,7,캐나다,0,전체관람가,모험,0,"['미켈라루치', '사라초드리']",0
54,필스,2013-11-21,6434000,6434000,883,883,6,52,영국,(주)앤드플러스미디어웍스,청소년관람불가,범죄,0,"['제임스맥어보이', '이모겐푸츠', '제이미벨']",0
55,헬벤더스: 최후의 성전,2014-05-01,3792000,3792000,1801,1801,4,18,미국,(주)소나무픽쳐스,청소년관람불가,공포,0,"['클립튼콜린스주니어', '클랜시브라운']",0
56,맛있는 유부녀,2019-03-06,6000,6000,1,1,1,1,일본,(주)플라이어,청소년관람불가,드라마,0,['사와무라레이코'],0
57,섹스 주식회사,2012-09-27,190000,190000,42,42,4,19,미국,(주)소나무픽쳐스,청소년관람불가,코미디,0,"['카일갈너', '사라힐랜드', '제임스벨루시']",0
58,좀비 vs 헌터,2018-01-11,2000,2000,1,1,1,1,캐나다,0,청소년관람불가,액션,K.킹,"['마틴코핑', '대니트레조', '클레어니더프루엠']",0
